id,name,value (raw),len,first_timestamp,last_timestamp
0,vin,'5YJSA1E61NF483144',17,HPick 11:15:45.670,HPick 11:15:45.670
1,carcomputer_pn,'1637790-00-F',12,HPick 11:15:45.670,HPick 11:15:45.670
2,carcomputer_sn,'CI922144200LCU',14,HPick 11:15:45.670,HPick 11:15:45.670
3,infotainmentpcba_pn,'1960001-12-F',12,HPick 11:15:45.671,HPick 11:15:45.671
4,infotainmentpcba_sn,'QNT22128100CUW',14,HPick 11:15:45.671,HPick 11:15:45.671
5,birthday,1655444866,4,HPick 11:15:45.671,HPick 11:15:45.671
6,country,21843,2,HPick 11:15:45.671,HPick 11:15:45.671
7,exteriorColor,5,1,HPick 11:15:45.671,HPick 11:15:45.671
8,drivetrainType,2,1,HPick 11:15:45.671,HPick 11:15:45.671
9,airSuspension,2,1,HPick 11:15:45.671,HPick 11:15:45.671
10,epasType,1,1,HPick 11:15:45.671,HPick 11:15:45.671
14,packEnergy,3,1,HPick 11:15:45.671,HPick 11:15:45.671
15,devSecurityLevel,3,1,HPick 11:15:45.679,HPick 11:15:45.679
16,restraintsHardwareType,174,1,HPick 11:15:45.679,HPick 11:15:45.679
17,brakeHWType,4,1,HPick 11:15:45.679,HPick 11:15:45.679
18,homelinkType,1,1,HPick 11:15:45.679,HPick 11:15:45.679
19,rightHandDrive,0,1,HPick 11:15:45.679,HPick 11:15:45.679
21,vdcType,0,1,HPick 11:15:45.679,HPick 11:15:45.679
26,interiorLighting,0,1,HPick 11:15:45.679,HPick 11:15:45.679
28,headlamps,2,1,HPick 11:15:45.679,HPick 11:15:45.679
29,autopilot,4,1,HPick 11:15:45.679,HPick 11:15:45.679
30,superchargingAccess,2,1,HPick 11:15:45.679,HPick 11:15:45.679
31,audioType,1,1,HPick 11:15:45.679,HPick 11:15:45.679
35,numberHVILNodes,0,1,HPick 11:15:45.680,HPick 11:15:45.680
37,prodCodeKey,'??;?eL?tH????`?sn??????^n?h?~???',32,HPick 11:15:45.680,HPick 11:15:45.680
38,prodCmdKey,'_????????????0&lt;????? ??^??K??(ng',32,HPick 11:15:45.680,HPick 11:15:45.680
39,altCodeKey,'',32,HPick 11:15:45.680,HPick 11:15:45.680
40,altCmdKey,'',32,HPick 11:15:45.685,HPick 11:15:45.685
41,wheelType,29,1,HPick 11:15:45.685,HPick 11:15:45.685
43,auxParkLamps,1,1,HPick 11:15:45.685,HPick 11:15:45.685
44,pedestrianWarningSound,1,1,HPick 11:15:45.685,HPick 11:15:45.685
48,performancePackage,0,1,HPick 11:15:45.685,HPick 11:15:45.685
49,eBuckConfig,0,1,HPick 11:15:45.685,HPick 11:15:45.685
52,airbagCutoffSwitch,0,1,HPick 11:15:45.685,HPick 11:15:45.685
54,autopilotTrialExpireTime,0,4,HPick 11:15:45.685,HPick 11:15:45.685
55,spoilerType,0,1,HPick 11:15:45.685,HPick 11:15:45.685
57,gatewayApplicationConfig,'????????????????',16,HPick 11:15:45.685,HPick 11:15:45.685
58,rearFogLamps,1,1,HPick 11:15:45.685,HPick 11:15:45.685
59,dasHw,4,1,HPick 11:15:45.685,HPick 11:15:45.685
60,securityVersion,8,4,HPick 11:15:45.685,HPick 11:15:45.685
61,bmpWatchdogDisabled,0,1,HPick 11:15:45.685,HPick 11:15:45.685
62,tireType,22,1,HPick 11:15:45.685,HPick 11:15:45.685
65,eCallEnabled,0,1,HPick 11:15:45.690,HPick 11:15:45.690
66,mapRegion,0,1,HPick 11:15:45.691,HPick 11:15:45.691
67,rearLightType,2,1,HPick 11:15:45.691,HPick 11:15:45.691
69,chassisType,0,1,HPick 11:15:45.691,HPick 11:15:45.691
70,plcSupportType,2,1,HPick 11:15:45.691,HPick 11:15:45.691
72,towPackage,0,1,HPick 11:15:45.691,HPick 11:15:45.691
73,refrigerantType,1,1,HPick 11:15:45.691,HPick 11:15:45.691
74,passengerOccupancySensorType,2,1,HPick 11:15:45.691,HPick 11:15:45.691
75,connectivityPackage,1,1,HPick 11:15:45.691,HPick 11:15:45.691
76,tpmsType,1,1,HPick 11:15:45.691,HPick 11:15:45.691
79,softRange,0,1,HPick 11:15:45.691,HPick 11:15:45.691
80,immersiveAudio,2,1,HPick 11:15:45.691,HPick 11:15:45.691
81,deliveryStatus,1,1,HPick 11:15:45.691,HPick 11:15:45.691
84,compressorType,4,1,HPick 11:15:45.691,HPick 11:15:45.691
85,cabinPTCHeaterType,1,1,HPick 11:15:45.691,HPick 11:15:45.691
86,coolantPumpType,5,1,HPick 11:15:45.696,HPick 11:15:45.696
87,autopilotTrial,'',5,HPick 11:15:45.696,HPick 11:15:45.696
88,autopilotSubscription,'',5,HPick 11:15:45.696,HPick 11:15:45.696
89,autopilotCameraType,0,1,HPick 11:15:45.696,HPick 11:15:45.696
93,efficiencyPackage,0,1,HPick 11:15:45.696,HPick 11:15:45.696
96,twelveVBatteryType,2,1,HPick 11:15:45.696,HPick 11:15:45.696
97,radarHeaterType,0,1,HPick 11:15:45.696,HPick 11:15:45.696
98,parkAssistECUType,1,1,HPick 11:15:45.696,HPick 11:15:45.696
104,steeringColumnMotorType,0,1,HPick 11:15:45.696,HPick 11:15:45.696
105,wirelessPhoneChargerType,2,1,HPick 11:15:45.696,HPick 11:15:45.696
106,interiorTrimType,7,1,HPick 11:15:45.696,HPick 11:15:45.696
107,mcuBootData,'???????p??@?l??@',16,HPick 11:15:45.696,HPick 11:15:45.696
109,eCallAntennaHW,0,1,HPick 11:15:45.696,HPick 11:15:45.696
110,forwardRadarHw,2,1,HPick 11:15:45.696,HPick 11:15:45.696
114,steeringHeaterType,5,1,HPick 11:15:45.701,HPick 11:15:45.701
116,gloveboxUSBType,1,1,HPick 11:15:45.701,HPick 11:15:45.701
117,ethernetTunerType,0,1,HPick 11:15:45.701,HPick 11:15:45.701
118,superManifoldType,1,1,HPick 11:15:45.701,HPick 11:15:45.701
119,gloveboxActuatorType,1,1,HPick 11:15:45.701,HPick 11:15:45.701
121,steeringWheelType,2,1,HPick 11:15:45.701,HPick 11:15:45.701
122,interiorCameraType,1,1,HPick 11:15:45.701,HPick 11:15:45.701
126,backfillStatus,1,1,HPick 11:15:45.701,HPick 11:15:45.701
128,epblHwType,6,1,HPick 11:15:45.701,HPick 11:15:45.701
129,epbrHwType,6,1,HPick 11:15:45.701,HPick 11:15:45.701
132,centerDisplayTiltType,2,1,HPick 11:15:45.701,HPick 11:15:45.701
133,frontUsbHubType,0,1,HPick 11:15:45.701,HPick 11:15:45.701
136,interiorCamFanType,1,1,HPick 11:15:45.701,HPick 11:15:45.701
139,badgingVersion,1,1,HPick 11:15:45.701,HPick 11:15:45.701
140,hornType,0,1,HPick 11:15:45.701,HPick 11:15:45.701
145,refrigACLineType,1,1,HPick 11:15:45.706,HPick 11:15:45.706
146,refrigFilterType,0,1,HPick 11:15:45.706,HPick 11:15:45.706
147,diBurnInType,0,1,HPick 11:15:45.706,HPick 11:15:45.706
149,logLevel,11,1,HPick 11:15:45.706,HPick 11:15:45.706
150,caliperColorType,0,1,HPick 11:15:45.706,HPick 11:15:45.706
161,windowCommandsPermissionType,0,1,HPick 11:15:45.706,HPick 11:15:45.706
